task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
circle,bsf,burst,232,0.2,193.1,0.2174,1.5645,0.1946,0.1960,5.1,161.0,0.000,0.000,0.000,151.3,0.531,0.0014
fig8,fixed10,burst,232,0.0,196.2,4053.1894,12288.2119,10125.0072,0.6520,13.0,231.5,0.000,0.000,0.000,153.7,0.539,0.3848
fig8,bsf,burst,232,0.0,198.9,0.0457,0.4766,0.0540,0.1810,4.0,133.6,0.000,0.000,0.000,155.9,0.547,0.0000
fig8,fixed10,burst,232,0.2,191.6,3466.8177,7935.5811,7551.4027,0.6540,13.6,226.4,0.000,0.000,0.000,150.2,0.527,0.1380
fig8,bsf,burst,232,0.2,190.5,0.1943,0.4859,0.1960,0.1810,5.0,161.9,0.000,0.000,0.000,149.3,0.524,0.0000
hover,fixed10,random,233,0.0,160.5,0.0035,0.0561,0.0000,0.0140,4.0,53.5,0.000,0.000,0.000,150.3,0.527,0.0000
hover,bsf,random,233,0.0,166.8,0.0030,0.0551,0.0000,0.2610,4.0,133.4,0.000,0.000,0.000,156.2,0.548,0.0000
hover,fixed10,random,233,0.2,170.9,0.1898,0.1953,0.1902,0.0210,5.0,64.3,0.000,0.000,0.000,160.1,0.562,0.0000
hover,bsf,random,233,0.2,161.6,0.1884,0.1936,0.1888,0.5220,5.0,162.6,0.000,0.000,0.000,151.3,0.531,0.0000
step,fixed10,random,233,0.0,162.8,0.0151,0.2769,0.0001,0.0130,4.0,53.2,0.000,0.000,0.000,152.4,0.535,0.0000
step,bsf,random,233,0.0,160.6,0.0155,0.2803,0.0003,0.3110,4.0,134.8,0.000,0.000,0.000,150.4,0.528,0.0000
step,fixed10,random,233,0.2,164.0,0.1898,0.3648,0.1902,0.0220,5.0,64.0,0.000,0.000,0.000,153.5,0.539,0.0000
step,bsf,random,233,0.2,160.3,0.1884,0.3648,0.1888,0.5330,5.0,162.9,0.000,0.000,0.000,150.1,0.527,0.0000
circle,fixed10,random,233,0.0,161.1,0.1190,1.6320,0.0434,0.0160,4.1,53.6,0.000,0.000,0.000,150.9,0.529,0.0029
circle,bsf,random,233,0.0,160.2,0.1048,1.6174,0.0476,0.3280,4.1,135.2,0.000,0.000,0.000,150.0,0.526,0.0013
circle,fixed10,random,233,0.2,165.0,6560.9472,14626.8727,13206.1507,0.9910,25.9,301.9,0.000,0.000,0.000,154.5,0.542,0.4937
circle,bsf,random,233,0.2,160.7,0.2189,1.6224,0.1947,0.5370,5.1,162.7,0.000,0.000,0.000,150.5,0.528,0.0019
fig8,fixed10,random,233,0.0,160.2,0.0475,0.5395,0.0484,0.0150,4.0,53.0,0.000,0.000,0.000,150.0,0.526,0.0000
fig8,bsf,random,233,0.0,161.1,0.0471,0.5186,0.0540,0.3060,4.0,134.6,0.000,0.000,0.000,150.9,0.529,0.0000
fig8,fixed10,random,233,0.2,165.5,0.1966,0.5520,0.1961,0.0220,5.0,63.9,0.000,0.000,0.000,155.0,0.544,0.0000
fig8,bsf,random,233,0.2,158.7,0.1947,0.5281,0.1960,0.5260,5.0,160.1,0.000,0.000,0.000,148.6,0.522,0.0000
hover,fixed10,periodic,233,0.0,188.1,0.0081,0.0561,0.0005,0.2000,4.0,53.0,0.000,0.000,0.000,150.2,0.527,0.0000
hover,bsf,periodic,233,0.0,188.1,0.0030,0.0551,0.0000,0.2000,4.0,134.4,0.000,0.000,0.000,150.1,0.527,0.0000
hover,fixed10,periodic,233,0.2,199.9,0.5038,4.0650,0.3533,0.2010,5.1,65.2,0.000,0.000,0.000,159.5,0.560,0.0018
hover,bsf,periodic,233,0.2,187.6,0.1884,0.1936,0.1888,0.2000,5.0,162.0,0.000,0.000,0.000,149.8,0.526,0.0000
step,fixed10,periodic,233,0.0,203.7,0.2717,2.2522,0.1598,0.1700,4.3,53.0,0.000,0.000,0.000,162.6,0.570,0.0054
step,bsf,periodic,233,0.0,196.2,0.0155,0.2803,0.0003,0.2000,4.0,135.1,0.000,0.000,0.000,156.6,0.550,0.0000
step,fixed10,periodic,233,0.2,194.0,0.5422,4.0650,0.7915,0.2010,5.3,66.0,0.000,0.000,0.000,154.8,0.543,0.0047
step,bsf,periodic,233,0.2,190.4,0.1884,0.3648,0.1888,0.2000,5.0,160.7,0.000,0.000,0.000,151.9,0.533,0.0000
circle,fixed10,periodic,233,0.0,186.8,0.2569,1.6339,0.0878,0.2000,4.2,53.2,0.000,0.000,0.000,149.1,0.523,0.0015
circle,bsf,periodic,233,0.0,186.3,0.1075,1.6175,0.0476,0.2000,4.1,135.4,0.000,0.000,0.000,148.7,0.522,0.0010
circle,fixed10,periodic,233,0.2,186.3,0.7705,4.7689,1.7961,0.2010,5.6,64.4,0.000,0.000,0.000,148.7,0.522,0.0085
circle,bsf,periodic,233,0.2,183.6,0.2205,1.6224,0.1955,0.2060,5.1,162.6,0.000,0.000,0.000,146.5,0.514,0.0018
fig8,fixed10,periodic,233,0.0,183.7,0.1359,1.1204,0.0487,0.2000,4.1,53.8,0.000,0.000,0.000,146.6,0.515,0.0000
fig8,bsf,periodic,233,0.0,185.9,0.0471,0.5186,0.0540,0.2000,4.0,133.7,0.000,0.000,0.000,148.4,0.521,0.0000
fig8,fixed10,periodic,233,0.2,198.0,0.6741,4.6778,1.1565,0.2010,5.6,65.1,0.000,0.000,0.000,158.0,0.554,0.0124
