task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
step,v3,periodic,239,0.0,169.9,0.0173,0.2746,0.0088,0.2020,4.0,48.0,0.977,0.020,0.003,135.6,0.476,0.0000
step,reactive,periodic,239,0.0,169.9,0.0175,0.2803,0.0078,0.2010,4.0,119.2,0.191,0.020,0.789,135.6,0.476,0.0000
step,fixed20,periodic,239,0.0,171.4,0.0174,0.2803,0.0036,0.2000,4.0,119.2,0.000,0.000,0.000,136.8,0.480,0.0000
step,v3,periodic,239,0.2,170.1,0.8430,5.8393,1.3433,0.2110,5.6,57.8,0.977,0.020,0.003,135.7,0.476,0.0114
step,reactive,periodic,239,0.2,172.0,14264.1633,34866.7408,30814.8735,0.9070,17.9,213.8,0.905,0.029,0.066,137.3,0.482,0.6358
step,fixed20,periodic,239,0.2,169.3,3660.0850,8174.0251,7377.8123,1.0000,8.0,225.7,0.000,0.000,0.000,135.1,0.474,0.0000
circle,v3,periodic,239,0.0,170.5,0.2818,1.6279,0.2014,0.2050,4.2,47.9,0.977,0.020,0.003,136.1,0.478,0.0027
circle,reactive,periodic,239,0.0,171.1,17207.1214,39925.2231,35766.6233,0.9820,19.3,210.0,0.999,0.001,0.000,136.5,0.479,0.7784
circle,fixed20,periodic,239,0.0,175.9,4002.6033,9733.1421,8598.0013,0.9990,7.9,233.9,0.000,0.000,0.000,140.4,0.493,0.4359
circle,v3,periodic,239,0.2,175.4,7178.7769,17273.2323,15326.9283,0.9130,17.9,213.6,0.977,0.020,0.003,140.0,0.491,0.5133
circle,reactive,periodic,239,0.2,175.5,18232.0880,42083.0083,37701.9222,0.9770,18.6,214.9,0.992,0.008,0.000,140.1,0.491,0.6382
circle,fixed20,periodic,239,0.2,176.1,3660.0854,8174.0253,7377.8127,1.0000,8.0,233.8,0.000,0.000,0.000,140.5,0.493,0.0000
fig8,v3,periodic,239,0.0,175.5,6915.2955,15305.7835,13840.9509,0.9960,18.7,213.4,0.977,0.020,0.003,140.1,0.491,0.6428
fig8,reactive,periodic,239,0.0,174.1,7848.4726,17377.7050,15698.3517,0.9960,18.7,215.1,0.999,0.001,0.000,139.0,0.488,0.5123
fig8,fixed20,periodic,239,0.0,174.5,8929.7433,18793.2871,17172.2632,0.9990,7.9,233.2,0.000,0.000,0.000,139.3,0.489,0.4712
fig8,v3,periodic,239,0.2,174.4,0.8821,6.4388,1.0743,0.2080,5.5,60.7,0.977,0.020,0.003,139.2,0.488,0.0095
fig8,reactive,periodic,239,0.2,171.6,8398.2462,18447.6078,16762.9314,0.9960,19.6,213.1,0.998,0.002,0.000,136.9,0.480,0.4760
fig8,fixed20,periodic,239,0.2,177.9,3660.0853,8174.0251,7377.8124,1.0000,8.0,234.1,0.000,0.000,0.000,142.0,0.498,0.0000
