task,method,blen,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
fig8,v3,20,332,202.4,0.0471,0.5232,0.0484,0.0630,4.0,50.6,0.993,0.004,0.003,142.9,0.501,0.0000
fig8,fixed20,20,332,203.5,0.0496,0.5232,0.0540,0.0620,4.0,127.1,0.000,0.000,0.000,143.7,0.504,0.0000
hover,v3,30,332,197.6,0.0030,0.0492,0.0000,0.0930,4.0,50.5,0.994,0.003,0.003,143.0,0.502,0.0000
hover,fixed20,30,332,201.0,0.0031,0.0492,0.0000,0.0910,4.0,127.8,0.000,0.000,0.000,145.5,0.511,0.0000
step,v3,30,332,197.7,0.0152,0.2746,0.0003,0.0930,4.0,50.5,0.994,0.003,0.003,143.1,0.502,0.0000
step,fixed20,30,332,203.1,0.0156,0.2803,0.0003,0.0910,4.0,124.7,0.000,0.000,0.000,147.1,0.516,0.0000
circle,v3,30,332,200.3,0.2235,1.9913,0.0427,0.0970,4.1,49.4,0.993,0.004,0.003,145.0,0.509,0.0038
circle,fixed20,30,332,197.1,1350.4973,4175.3941,3411.5936,0.9990,7.9,236.8,0.000,0.000,0.000,142.7,0.501,0.2168
fig8,v3,30,332,198.3,0.0473,0.5232,0.0485,0.0930,4.0,49.3,0.993,0.004,0.003,143.6,0.504,0.0000
fig8,fixed20,30,332,196.4,0.0498,0.5232,0.0540,0.0920,4.1,125.0,0.000,0.000,0.000,142.2,0.499,0.0000
hover,v3,5,333,207.9,0.0038,0.0579,0.0000,0.0280,4.0,49.7,0.994,0.003,0.003,142.7,0.501,0.0000
hover,fixed20,5,333,206.4,0.0038,0.0579,0.0000,0.0260,4.0,124.5,0.000,0.000,0.000,141.6,0.497,0.0000
step,v3,5,333,207.1,0.0153,0.2746,0.0005,0.0280,4.0,49.4,0.994,0.003,0.003,142.1,0.499,0.0000
step,fixed20,5,333,205.5,0.0157,0.2803,0.0004,0.0260,4.0,124.8,0.000,0.000,0.000,141.0,0.495,0.0000
circle,v3,5,333,211.6,0.1354,1.5388,0.0426,0.0310,4.1,50.8,0.993,0.004,0.003,145.2,0.509,0.0022
circle,fixed20,5,333,214.1,21001.4532,42830.7847,39865.0639,0.9990,8.0,240.7,0.000,0.000,0.000,146.9,0.516,0.5622
fig8,v3,5,333,214.1,0.0455,0.4972,0.0484,0.0280,4.0,50.5,0.993,0.004,0.003,146.9,0.515,0.0000
fig8,fixed20,5,333,213.1,0.0483,0.4972,0.0540,0.0260,4.0,127.5,0.000,0.000,0.000,146.2,0.513,0.0000
hover,v3,10,333,206.8,0.0038,0.0579,0.0000,0.0530,4.0,50.6,0.994,0.003,0.003,144.8,0.508,0.0000
hover,fixed20,10,333,205.2,0.0038,0.0579,0.0000,0.0510,4.0,127.0,0.000,0.000,0.000,143.7,0.504,0.0000
step,v3,10,333,207.8,0.0153,0.2746,0.0005,0.0530,4.0,50.7,0.994,0.003,0.003,145.5,0.511,0.0000
step,fixed20,10,333,203.1,0.0157,0.2803,0.0004,0.0510,4.0,125.2,0.000,0.000,0.000,142.2,0.499,0.0000
circle,v3,10,333,205.2,0.1354,1.5388,0.0426,0.0560,4.1,49.4,0.993,0.004,0.003,143.7,0.504,0.0022
circle,fixed20,10,333,205.4,21001.4532,42830.7847,39865.0639,0.9990,8.0,235.7,0.000,0.000,0.000,143.8,0.505,0.5622
fig8,v3,10,333,205.3,0.0455,0.4972,0.0484,0.0530,4.0,50.3,0.993,0.004,0.003,143.8,0.504,0.0000
fig8,fixed20,10,333,209.0,0.0483,0.4972,0.0540,0.0510,4.0,127.3,0.000,0.000,0.000,146.3,0.513,0.0000
hover,v3,15,333,199.8,0.0038,0.0579,0.0000,0.0780,4.0,50.8,0.994,0.003,0.003,142.8,0.501,0.0000
hover,fixed20,15,333,201.7,0.0038,0.0579,0.0000,0.0760,4.0,127.2,0.000,0.000,0.000,144.2,0.506,0.0000
step,v3,15,333,196.0,0.0153,0.2746,0.0005,0.0780,4.0,48.5,0.994,0.003,0.003,140.1,0.492,0.0000
step,fixed20,15,333,201.9,0.0157,0.2803,0.0004,0.0760,4.0,125.0,0.000,0.000,0.000,144.3,0.506,0.0000
circle,v3,15,333,198.3,0.1354,1.5388,0.0426,0.0810,4.1,49.4,0.993,0.004,0.003,141.8,0.497,0.0022
circle,fixed20,15,333,205.3,21001.4532,42830.7847,39865.0639,0.9990,8.0,240.5,0.000,0.000,0.000,146.7,0.515,0.5622
fig8,v3,15,333,200.2,0.0455,0.4972,0.0484,0.0780,4.0,50.5,0.993,0.004,0.003,143.1,0.502,0.0000
fig8,fixed20,15,333,198.6,0.0483,0.4972,0.0540,0.0760,4.0,124.7,0.000,0.000,0.000,142.0,0.498,0.0000
hover,v3,20,333,192.2,0.0038,0.0579,0.0000,0.1030,4.0,49.4,0.994,0.003,0.003,140.4,0.492,0.0000
hover,fixed20,20,333,196.2,0.0038,0.0579,0.0000,0.1010,4.0,124.7,0.000,0.000,0.000,143.2,0.503,0.0000
step,v3,20,333,196.8,0.0153,0.2746,0.0005,0.1030,4.0,49.0,0.994,0.003,0.003,143.7,0.504,0.0000
step,fixed20,20,333,197.4,0.0157,0.2803,0.0004,0.1010,4.0,124.8,0.000,0.000,0.000,144.1,0.506,0.0000
circle,v3,20,333,194.8,0.1354,1.5388,0.0426,0.1060,4.1,49.4,0.993,0.004,0.003,142.2,0.499,0.0022
circle,fixed20,20,333,199.9,21001.4532,42830.7847,39865.0639,0.9990,8.0,235.9,0.000,0.000,0.000,145.9,0.512,0.5622
